analysis_family,analysis,outcome_scale,cluster_mode,effects,clusters,studies,estimate,ci_lower,ci_upper,pi_lower,pi_upper,robust_se_working_scale,satterthwaite_df,p_value
possible_cohort_overlap,Inter-reader single-cohort dependency stress test (Bai 2020 and Kang 2022),z,dependency,175,49,47,0.6741397699289451,0.6025190357884695,0.7349895399211775,0.04019140382991601,0.9211207834410634,0.06025047764235096,47.11399566316645,6.602718336107851e-18
possible_cohort_overlap,Inter-reader OPES full model (overlap reference),z,one_per_study,47,47,47,0.703544726664231,0.6269212708102235,0.7666879477593003,-0.042666870763549046,0.9458936917138715,0.07038774363128007,NA,2.010719666180108e-35
possible_cohort_overlap,Inter-reader OPES excluding Bai 2020,z,one_per_study,46,46,46,0.7050113401383113,0.6267211155739439,0.7692108570489009,-0.051484315126369376,0.9474156544755302,0.07204067675881239,NA,4.152808752650394e-34
possible_cohort_overlap,Inter-reader OPES excluding Kang 2022,z,one_per_study,46,46,46,0.7057468709911593,0.62771963624762706,0.7697336885924152,-0.048866237101666515,0.9474466889687478,0.07194771992917731,NA,2.6668637393656967e-34
