analysis_id,stratum,moderator,contrast,omitted_study,removed_effects,remaining_effects,remaining_studies,remaining_clusters,successful,beta,se,df,p_raw,nominal_p_lt_0_05,direction_consistent,warnings,failure_reason
IR_blinding_reported,Inter-reader,Blinding reported,Reported vs not reported,Osman_2021,4,171,46,51,TRUE,0.13516658648980465,0.04607513261668508,5.760245096825362,0.027447575800173568,TRUE,TRUE,,
IR_blinding_reported,Inter-reader,Blinding reported,Reported vs not reported,Pacheco_2020,12,163,46,51,TRUE,0.13732202142036937,0.048003006071761355,6.068569886999139,0.028414232979665482,TRUE,TRUE,,
IR_blinding_reported,Inter-reader,Blinding reported,Reported vs not reported,Park_2021,4,171,46,51,TRUE,0.12546576534769077,0.04391698346522938,5.61443768826498,0.03114821460185821,TRUE,TRUE,,
IR_blinding_reported,Inter-reader,Blinding reported,Reported vs not reported,Peng_2010,2,173,46,51,TRUE,0.12288161498215508,0.04318563390656304,5.6490076820240045,0.03138534556098254,TRUE,TRUE,,
IR_blinding_reported,Inter-reader,Blinding reported,Reported vs not reported,Pitra_2018,2,173,46,51,TRUE,0.12292023921788767,0.042450530970268865,5.525915108404763,0.03021955941031522,TRUE,TRUE,,
IR_blinding_reported,Inter-reader,Blinding reported,Reported vs not reported,Ragel_2016,2,173,46,51,TRUE,0.1205987274797751,0.043712386868363096,5.288417392303177,0.03756366627039444,TRUE,TRUE,,
IR_blinding_reported,Inter-reader,Blinding reported,Reported vs not reported,Rosenkrantz_2014,2,173,46,51,TRUE,0.13237253370432547,0.04510096263740476,5.651587155452116,0.028022209222219208,TRUE,TRUE,,
IR_blinding_reported,Inter-reader,Blinding reported,Reported vs not reported,Sebastià_2026,1,174,46,51,TRUE,0.1256370577000549,0.04313706138956183,5.527844069345729,0.02958086099957735,TRUE,TRUE,,
IR_blinding_reported,Inter-reader,Blinding reported,Reported vs not reported,Shaish_2019,3,172,46,51,TRUE,0.12133092345164012,0.04165385650139468,5.403107710844963,0.030371671018513333,TRUE,TRUE,,
IR_blinding_reported,Inter-reader,Blinding reported,Reported vs not reported,Siegel_1997,1,174,46,51,TRUE,0.12945719253884838,0.04436684860417401,5.59825978167051,0.028951164264359057,TRUE,TRUE,,
IR_blinding_reported,Inter-reader,Blinding reported,Reported vs not reported,Sun_2023,4,171,46,50,TRUE,0.12225656605823171,0.041878088072543736,5.2543352483245265,0.031143779147934817,TRUE,TRUE,,
