analytic_stratum,study_id,first_author,year,publication_type,retained_comparisons,retained_metric_types,eligible_kappa_effects,selected_opes_effects,primary_model_status
inter-reader,Jin_2026,Jin,2026,journal_article,1,Gwet AC1,0,0,Excluded from kappa pooling: only non-kappa metric(s) reported
inter-reader,Sebastià_2026,Sebastià,2026,journal_article,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-reader,Urraro_2026,Urraro,2026,journal_article,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-modality,Bielsa_Gali_1999,Bielsa Gali,1999,journal_article,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-modality,Israel_2004,Israel,2004,journal_article,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-modality,Ascenti_2007,Ascenti,2007,journal_article,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-modality,Park_2007,Park,2007,journal_article,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-modality,Clevert_2008,Clevert,2008,journal_article,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-modality,Ignee_2010,Ignee,2010,journal_article,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-modality,Foukal_2014,Foukal,2014,journal_article,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-modality,Ferreira_2016,Ferreira,2016,journal_article,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-modality,Graumann_2016,Graumann,2016,journal_article,2,kappa,2,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-modality,Ragel_2016,Ragel,2016,journal_article,2,kappa,2,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-modality,Rocca_2016,Rocca,2016,conference_abstract,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-modality,Sanz_2016,Sanz,2016,journal_article,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-modality,Zhong_2017,Zhong,2017,journal_article,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-modality,Oon_2018,Oon,2018,journal_article,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-modality,Pitra_2018,Pitra,2018,journal_article,2,kappa,2,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-modality,Lee_2020,Lee,2020,journal_article,2,kappa,2,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-modality,Lerchbaumer_2020,Lerchbaumer,2020,journal_article,2,percentage agreement,0,0,Excluded from kappa pooling: only non-kappa metric(s) reported
inter-modality,Lucocq_2020,Lucocq,2020,conference_abstract,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-modality,Yenice_2020,Yenice,2020,journal_article,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-modality,Chan_2021,Chan,2021,journal_article,2,kappa,2,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-modality,Como_2021,Como,2021,journal_article,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-modality,Park_2021,Park,2021,journal_article,4,kappa,4,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-modality,Tshering_Vogel_2021,Tshering Vogel,2021,journal_article,2,kappa,2,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-modality,Peard_2022,Peard,2022,journal_article,3,kappa,3,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-modality,Almalki_2023,Almalki,2023,journal_article,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-modality,Das_2023,Das,2023,journal_article,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-modality,Herms_2023,Herms,2023,journal_article,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-modality,Reizine_2024,Reizine,2024,journal_article,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-modality,He_2025,He,2025,journal_article,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-modality,Anshulmeena_2026,Anshulmeena,2026,journal_article,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-modality,He_2026,He,2026,journal_article,1,kappa,1,1,Included in primary all-eligible-kappa RVE+CR2 model
inter-modality,Jin_2026,Jin,2026,journal_article,2,Gwet AC1,0,0,Excluded from kappa pooling: only non-kappa metric(s) reported
intra-reader,Bertolotto_2010,Bertolotto,2010,journal_article,2,kappa,2,1,Included in primary OPES model (one selected effect per study)
intra-reader,Graumann_2015,Graumann,2015,journal_article,3,kappa,2,1,Included in primary OPES model (one selected effect per study)
