study_id,modality,reader_structure,original_comparison_id,v2019_comparison_id,original_kappa,v2019_kappa,original_yi,v2019_yi,original_vi,v2019_vi,raw_kappa_difference,yi_difference,vi_difference
Abufaraj_2025,CT,pooled,C001,C002,0.354,0.373,0.3700094748448093,0.3919034325675252,0.0018132555914763266,0.003483800259036903,0.019000000000000017,0.021893957722715907,0.0052970558505132295
Bai_2020,MRI,pooled,C303,C302,0.5,0.64,0.5493061443340549,0.7581737446840442,9.539312980049797e-4,0.0012031227762090203,0.14,0.2088676003499893,0.002157054074214
Chan_2021,CT,pooled,C051,C053,0.35,0.44,0.3654437542713961,0.47223080442042564,0.016129032258064516,0.016129032258064516,0.09000000000000002,0.10678705014902956,0.03225806451612903
Dana_2023,CT,pooled,C063,C064,0.78,0.75,1.0453705484668847,0.9729550745276566,0.0040405825183115794,0.004088856648825817,-0.030000000000000027,-0.07241547393922809,0.008129439167137396
Lucocq_2024,CT,single_pair,C157,C158,0.7,0.43,0.8673005276940532,0.4598966812126785,0.017241379310344827,0.017241379310344827,-0.26999999999999996,-0.4074038464813747,0.034482758620689655
Osman_2021,CT_MRI,pooled,C170,C171,0.39,0.44,0.4118000344786903,0.47223080442042564,0.01,0.01,0.04999999999999999,0.06043076994173535,0.02
Pacheco_2020,MRI,pooled,C176,C178,0.42,0.38,0.44769202352742066,0.40005965005605654,0.006077433642657996,0.003942205368159984,-0.03999999999999998,-0.04763237347136412,0.01001963901081798
Park_2021,CT,single_pair,C188,C190,0.676,0.804,0.8217108826248496,1.109823520696026,0.011664050591356454,0.013644352044831614,0.128,0.2881126380711765,0.025308402636188068
Sun_2023,CEUS,single_pair,C382,C251,0.448,0.689,0.4821952633342832,0.8460495023142829,0.004784688995215311,0.004784688995215311,0.24099999999999994,0.3638542389799997,0.009569377990430622
Tse_2020,MRI,single_pair,C252,C253,0.57,0.55,0.6475228448273728,0.6183813135744636,0.017857142857142856,0.017857142857142856,-0.019999999999999907,-0.029141531252909192,0.03571428571428571
Tse_2021_a,CT_MRI,pooled,C256,C254,0.283,0.431,0.29094026200800793,0.46112417271506007,0.013157894736842105,0.013157894736842105,0.14800000000000002,0.17018391070705213,0.02631578947368421
Tse_2021_b,CT,pooled,C262,C260,0.707,0.745,0.8811600568886866,0.9616231447390506,0.015384615384615385,0.015384615384615385,0.038000000000000034,0.08046308785036405,0.03076923076923077
Yan_2021,CT_MRI,pairwise,C411,C408,0.336,0.469,0.34957660231007864,0.5087875774659691,0.014285714285714285,0.014285714285714285,0.13299999999999995,0.1592109751558905,0.02857142857142857
