comparison_id,study_id,comparison_type,modality_1,modality_2,version_1,version_2,n_readers,reader_1_specialty,reader_1_experience_yrs,reader_2_specialty,reader_2_experience_yrs,blinding,reading_session_type,n_cysts,n_categories,categories_used,collapsing_scheme,kappa_type,weight_scheme,kappa,kappa_se,ci_lower,ci_upper,observed_agreement,gwet_ac1,gwet_ac2,icc,icc_type,krippendorff_alpha,has_raw_table,exclude,metric_note,std_modality_1,std_modality_2,std_version_1,std_version_2,reader_structure,variation_axis,dep_id,sensitivity_flags,analytic_stratum,opes_rank,opes_include,opes_basis,opes_exclude_reason,exp_mean,specialty_group,blinding_reported,study_design_cat,region
C480,Jin_2024,intra-reader,CEUS,CEUS,EFSUMB 2020,EFSUMB 2020,1,['ultrasound (abdominal)'],3 experts (>5y) and 3 novices (<2y),,,Blinded; randomized patient order,two sessions with 1-month interval,103,5,"['I', 'II', 'IIF', 'III', 'IV']",,Gwet_AC,not_applicable,,0.0306,0.8,0.92,,,0.86,,,,0,,,CEUS,CEUS,EFSUMB,EFSUMB,single,reader_pair,Jin_2024_c1,,intra-reader,3.97,1,single_direct,,3.5,subspecialty,blinded,retrospective,Asia
C481,Jin_2024,intra-reader,CEUS,CEUS,EFSUMB 2020,EFSUMB 2020,1,['ultrasound (abdominal)'],3 experts (>5y) and 3 novices (<2y),,,Blinded; randomized patient order,two sessions with 1-month interval,103,5,"['I', 'II', 'IIF', 'III', 'IV']",,Gwet_AC,not_applicable,,0.0332,0.8,0.93,,,0.86,,,,0,,,CEUS,CEUS,EFSUMB,EFSUMB,single,reader_pair,Jin_2024_c1,,intra-reader,3.97,0,,duplicate_within_study,3.0,subspecialty,blinded,retrospective,Asia
C482,Jin_2024,intra-reader,CEUS,CEUS,EFSUMB 2020,EFSUMB 2020,1,['ultrasound (abdominal)'],3 experts (>5y) and 3 novices (<2y),,,Blinded; randomized patient order,two sessions with 1-month interval,103,5,"['I', 'II', 'IIF', 'III', 'IV']",,Gwet_AC,not_applicable,,0.0332,0.81,0.94,,,0.87,,,,0,,,CEUS,CEUS,EFSUMB,EFSUMB,single,reader_pair,Jin_2024_c1,,intra-reader,3.97,0,,duplicate_within_study,3.0,subspecialty,blinded,retrospective,Asia
C483,Jin_2024,intra-reader,CEUS,CEUS,EFSUMB 2020,EFSUMB 2020,1,['ultrasound (abdominal)'],3 experts (>5y) and 3 novices (<2y),,,Blinded; randomized patient order,two sessions with 1-month interval,103,5,"['I', 'II', 'IIF', 'III', 'IV']",,Gwet_AC,not_applicable,,0.0332,0.76,0.89,,,0.82,,,,0,,,CEUS,CEUS,EFSUMB,EFSUMB,single,reader_pair,Jin_2024_c1,,intra-reader,3.97,0,,duplicate_within_study,3.0,subspecialty,blinded,retrospective,Asia
C484,Jin_2024,intra-reader,CEUS,CEUS,EFSUMB 2020,EFSUMB 2020,1,['ultrasound (abdominal)'],3 experts (>5y) and 3 novices (<2y),,,Blinded; randomized patient order,two sessions with 1-month interval,103,5,"['I', 'II', 'IIF', 'III', 'IV']",,Gwet_AC,not_applicable,,0.0612,0.61,0.85,,,0.73,,,,0,,,CEUS,CEUS,EFSUMB,EFSUMB,single,reader_pair,Jin_2024_c1,,intra-reader,3.97,0,,duplicate_within_study,3.0,subspecialty,blinded,retrospective,Asia
C485,Jin_2024,intra-reader,CEUS,CEUS,EFSUMB 2020,EFSUMB 2020,1,['ultrasound (abdominal)'],3 experts (>5y) and 3 novices (<2y),,,Blinded; randomized patient order,two sessions with 1-month interval,103,5,"['I', 'II', 'IIF', 'III', 'IV']",,Gwet_AC,not_applicable,,0.0357,0.75,0.89,,,0.82,,,,0,,,CEUS,CEUS,EFSUMB,EFSUMB,single,reader_pair,Jin_2024_c1,,intra-reader,3.97,0,,duplicate_within_study,3.0,subspecialty,blinded,retrospective,Asia
C486,Tse_2021_b,inter-reader,CT,,v2019,,2,fellowship-trained abdominal radiologists,"2, 13, 15 years",,,"blinded to clinical info, pathology, original report","independent, retrospective, separate sessions for CT and MRI",68,5,"['I', 'II', 'IIF', 'III', 'IV']",full 5-category,Cohen_weighted,weighted_unspecified,0.744,,,,,,,,,,0,,weight_not_specified,CT,,v2019,v2019,pairwise,modality;version,Tse_2021_b_c1,weight_not_specified;overlap:tse_group;no_ci,inter-reader,30.32,1,reported_overall_restored:0.745,,10.0,mixed,blinded,retrospective,North_America
C487,Tse_2021_b,inter-reader,CT,,v2019,,2,fellowship-trained abdominal radiologists,"2, 13, 15 years",,,"blinded to clinical info, pathology, original report","independent, retrospective, separate sessions for CT and MRI",68,5,"['I', 'II', 'IIF', 'III', 'IV']",full 5-category,Cohen_weighted,weighted_unspecified,0.776,,,,,,,,,,0,,weight_not_specified,CT,,v2019,v2019,pairwise,modality;version,Tse_2021_b_c1,weight_not_specified;overlap:tse_group;no_ci,inter-reader,30.32,0,,reported_overall_available,10.0,mixed,blinded,retrospective,North_America
C488,Tse_2021_b,inter-reader,CT,,v2019,,2,fellowship-trained abdominal radiologists,"2, 13, 15 years",,,"blinded to clinical info, pathology, original report","independent, retrospective, separate sessions for CT and MRI",68,5,"['I', 'II', 'IIF', 'III', 'IV']",full 5-category,Cohen_weighted,weighted_unspecified,0.714,,,,,,,,,,0,,weight_not_specified,CT,,v2019,v2019,pairwise,modality;version,Tse_2021_b_c1,weight_not_specified;overlap:tse_group;no_ci,inter-reader,30.32,0,,reported_overall_available,10.0,mixed,blinded,retrospective,North_America
C489,Tse_2021_b,inter-reader,MRI,,v2019,,2,,,,,,,68,5,"['I', 'II', 'IIF', 'III', 'IV']",,Cohen_weighted,weighted_unspecified,0.625,,,,,,,,,,0,,weight_not_specified,MRI,,v2019,v2019,pairwise,modality;version,Tse_2021_b_c1,weight_not_specified;overlap:tse_group;no_ci,inter-reader,30.32,0,,reported_overall_available,,,unclear,retrospective,North_America
C490,Tse_2021_b,inter-reader,MRI,,v2019,,2,,,,,,,68,5,"['I', 'II', 'IIF', 'III', 'IV']",,Cohen_weighted,weighted_unspecified,0.624,,,,,,,,,,0,,weight_not_specified,MRI,,v2019,v2019,pairwise,modality;version,Tse_2021_b_c1,weight_not_specified;overlap:tse_group;no_ci,inter-reader,30.32,0,,reported_overall_available,,,unclear,retrospective,North_America
C491,Tse_2021_b,inter-reader,MRI,,v2019,,2,,,,,,,68,5,"['I', 'II', 'IIF', 'III', 'IV']",,Cohen_weighted,weighted_unspecified,0.715,,,,,,,,,,0,,weight_not_specified,MRI,,v2019,v2019,pairwise,modality;version,Tse_2021_b_c1,weight_not_specified;overlap:tse_group;no_ci,inter-reader,30.32,0,,reported_overall_available,,,unclear,retrospective,North_America
C492,Tse_2021_b,inter-reader,CT,,original,,2,,,,,,,68,5,,,Cohen_weighted,weighted_unspecified,0.701,,,,,,,,,,0,,weight_not_specified,CT,,original,original,pairwise,modality;version,Tse_2021_b_c1,weight_not_specified;overlap:tse_group;no_ci,inter-reader,30.32,0,,reported_overall_available,,,unclear,retrospective,North_America
C493,Tse_2021_b,inter-reader,CT,,original,,2,,,,,,,68,5,,,Cohen_weighted,weighted_unspecified,0.749,,,,,,,,,,0,,weight_not_specified,CT,,original,original,pairwise,modality;version,Tse_2021_b_c1,weight_not_specified;overlap:tse_group;no_ci,inter-reader,30.32,0,,reported_overall_available,,,unclear,retrospective,North_America
C494,Tse_2021_b,inter-reader,CT,,original,,2,,,,,,,68,5,,,Cohen_weighted,weighted_unspecified,0.672,,,,,,,,,,0,,weight_not_specified,CT,,original,original,pairwise,modality;version,Tse_2021_b_c1,weight_not_specified;overlap:tse_group;no_ci,inter-reader,30.32,0,,reported_overall_available,,,unclear,retrospective,North_America
C495,Tse_2021_b,inter-reader,MRI,,original,,2,,,,,,,68,5,,,Cohen_weighted,weighted_unspecified,0.673,,,,,,,,,,0,,weight_not_specified,MRI,,original,original,pairwise,modality;version,Tse_2021_b_c1,weight_not_specified;overlap:tse_group;no_ci,inter-reader,30.32,0,,reported_overall_available,,,unclear,retrospective,North_America
C496,Tse_2021_b,inter-reader,MRI,,original,,2,,,,,,,68,5,,,Cohen_weighted,weighted_unspecified,0.598,,,,,,,,,,0,,weight_not_specified,MRI,,original,original,pairwise,modality;version,Tse_2021_b_c1,weight_not_specified;overlap:tse_group;no_ci,inter-reader,30.32,0,,reported_overall_available,,,unclear,retrospective,North_America
C497,Tse_2021_b,inter-reader,MRI,,original,,2,,,,,,,68,5,,,Cohen_weighted,weighted_unspecified,0.599,,,,,,,,,,0,,weight_not_specified,MRI,,original,original,pairwise,modality;version,Tse_2021_b_c1,weight_not_specified;overlap:tse_group;no_ci,inter-reader,30.32,0,,reported_overall_available,,,unclear,retrospective,North_America
C498,Kang_2024,inter-reader,CT,,,,2,,,,,,,48,5,"I,II,IIF,III,IV",,Cohen,weighted,0.637,,,,,,,,,,0,duplicate,,,,NA,NA,,,,,,,,,,,,unclear,retrospective,Asia
C499,Kang_2025,inter-reader,MRI,,,,6,,,,,,,,5,"I,II,IIF,III,IV",,Fleiss,unweighted,0.39,,0.35,0.43,,,,,,,0,erroneous_entry,,,,NA,NA,,,,,,,,,,,,unclear,retrospective,Asia
C500,Kang_2025,inter-reader,MRI,,,,6,,,,,,,,5,"I,II,IIF,III,IV",,Fleiss,unweighted,0.48,,0.44,0.52,,,,,,,0,erroneous_entry,,,,NA,NA,,,,,,,,,,,,unclear,retrospective,Asia
C501,Kang_2025,inter-reader,MRI,,,,3,,,,,,,,5,"I,II,IIF,III,IV",,Fleiss,unweighted,0.49,,0.44,0.55,,,,,,,0,erroneous_entry,,,,NA,NA,,,,,,,,,,,,unclear,retrospective,Asia
C502,Kang_2025,inter-reader,MRI,,,,3,,,,,,,,5,"I,II,IIF,III,IV",,Fleiss,unweighted,0.56,,0.5,0.62,,,,,,,0,erroneous_entry,,,,NA,NA,,,,,,,,,,,,unclear,retrospective,Asia
C503,Kang_2025,inter-reader,MRI,,,,3,,,,,,,,5,"I,II,IIF,III,IV",,Fleiss,unweighted,0.32,,0.26,0.38,,,,,,,0,erroneous_entry,,,,NA,NA,,,,,,,,,,,,unclear,retrospective,Asia
C504,Kang_2025,inter-reader,MRI,,,,3,,,,,,,,5,"I,II,IIF,III,IV",,Fleiss,unweighted,0.43,,0.37,0.49,,,,,,,0,erroneous_entry,,,,NA,NA,,,,,,,,,,,,unclear,retrospective,Asia
C505,Spyridon_2018,inter-modality,CEUS,CT,,,1,,,,,,,,,,,Cohen,unweighted,,,,,,,,,,,0,duplicate,,,,NA,NA,,,,,,,,,,,,unclear,retrospective,
C506,Spyridon_2018,inter-modality,MRI,CT,,,1,,,,,,,,,,,Cohen,unweighted,,,,,,,,,,,0,duplicate,,,,NA,NA,,,,,,,,,,,,unclear,retrospective,
C507,Alvarez_2013,inter-modality,CEUS,CT,,,1,,,,,,,28,3,,,Cohen_unweighted,unweighted,0.556,,0.306,0.806,,,,,,,1,duplicate,,CEUS,CT,unspecified,unspecified,single,none,Alvarez_2013_c1,small_sample,inter-modality,4.72,0,sole_estimate,duplicate_of_Sanz_2016,,,unclear,retrospective,
C508,He_2026,inter-modality,US,CT/MRI,,,1,,,,,,,,,,,Cohen,unweighted,0.75,,,,,,,,,,0,duplicate,,,,NA,NA,,,,,,,,,,,,unclear,retrospective,Asia
C509,He_2026,inter-reader,US,,,,2,,,,,,,,,,,Cohen,unweighted,0.88,,,,,,,,,,0,duplicate,,,,NA,NA,,,,,,,,,,,,unclear,retrospective,Asia
C510,He_2026,inter-reader,US,,,,2,,,,,,,,,,,Cohen,unweighted,0.66,,,,,,,,,,0,duplicate,,,,NA,NA,,,,,,,,,,,,unclear,retrospective,Asia
C511,Ragel_2016,inter-reader,CEUS,,,,2,,9 years,,6 years,,,51,5,"I,II,IIF,III,IV",,Cohen_linear,unweighted,0.1983,,,,0.3922,,,,,,1,,derived_from_table,CEUS,,unspecified,original,single_pair,modality;version,Ragel_2016_c1,derived_from_table;no_ci,inter-reader,10.49,0,,lower_priority,7.5,,unclear,prospective,Europe
C512,Münch_2024,inter-reader,CEUS,CEUS,EFSUMB 2020,EFSUMB 2020,2,,,,,,,168,5,,,Cohen_weighted,quadratic,0.93,,0.89,0.97,,,,,,,1,,,CEUS,CEUS,EFSUMB,EFSUMB,vs_reference,reader_pair,Münch_2024_c2,,inter-reader,38.32,0,,less_preferred_structure:vs_reference;lower_priority,,,unclear,retrospective,Europe
C513,Münch_2024,inter-reader,CEUS,CEUS,EFSUMB 2020,EFSUMB 2020,2,,,,,,,168,5,,,Cohen_weighted,quadratic,0.95,,0.93,0.98,,,,,,,1,,,CEUS,CEUS,EFSUMB,EFSUMB,vs_reference,reader_pair,Münch_2024_c2,,inter-reader,38.32,0,,less_preferred_structure:vs_reference;lower_priority,,,unclear,retrospective,Europe
C514,Münch_2024,inter-reader,CEUS,CEUS,EFSUMB 2020,EFSUMB 2020,2,,,,,,,168,5,,,Cohen_weighted,quadratic,0.62,,0.52,0.73,,,,,,,1,,,CEUS,CEUS,EFSUMB,EFSUMB,vs_reference,reader_pair,Münch_2024_c2,,inter-reader,38.32,0,,less_preferred_structure:vs_reference;lower_priority,,,unclear,retrospective,Europe
C515,Münch_2024,inter-reader,CEUS,CEUS,EFSUMB 2020,EFSUMB 2020,2,,,,,,,168,5,,,Cohen_weighted,quadratic,0.59,,0.49,0.7,,,,,,,1,,,CEUS,CEUS,EFSUMB,EFSUMB,vs_reference,reader_pair,Münch_2024_c2,,inter-reader,38.32,0,,less_preferred_structure:vs_reference;lower_priority,,,unclear,retrospective,Europe
C516,Münch_2024,inter-reader,CEUS,CEUS,EFSUMB 2020,EFSUMB 2020,2,,,,,,,168,5,,,Cohen_weighted,quadratic,0.61,,0.52,0.7,,,,,,,1,,,CEUS,CEUS,EFSUMB,EFSUMB,vs_reference,reader_pair,Münch_2024_c2,,inter-reader,38.32,0,,less_preferred_structure:vs_reference;lower_priority,,,unclear,retrospective,Europe
C517,Münch_2024,inter-reader,CEUS,CEUS,EFSUMB 2020,EFSUMB 2020,2,,,,,,,168,5,,,Cohen_weighted,quadratic,0.62,,0.52,0.73,,,,,,,1,,,CEUS,CEUS,EFSUMB,EFSUMB,vs_reference,reader_pair,Münch_2024_c2,,inter-reader,38.32,0,,less_preferred_structure:vs_reference;lower_priority,,,unclear,retrospective,Europe
C518,Pitra_2018,inter-modality,CT,MRI,,,2,,,,,,,29,4,,,Cohen_unweighted,unweighted,0.0206,,,,0.3793,,,,,,1,,derived_from_table,CT,MRI,original,original,single,reader_pair,Pitra_2018_c1,derived_from_table;no_ci;small_sample,inter-modality,5.71,1,single_direct,,,,unclear,retrospective,Europe
C519,Pitra_2018,inter-modality,CT,MRI,,,2,,,,,,,29,4,,,Cohen_unweighted,unweighted,0.3158,,,,0.5517,,,,,,1,,derived_from_table,CT,MRI,original,original,single,reader_pair,Pitra_2018_c1,derived_from_table;no_ci;small_sample,inter-modality,5.71,0,,duplicate_within_study,,,unclear,retrospective,Europe
C520,Dana_2023,inter-reader,CT,CT,v2005,v2005,2,,,,,,,149,2,,,Light,unweighted,0.76,,0.63,0.87,0.906,,,,,,0,supplementary_collapsed,,CT,CT,original,original,single_pair,version;n_categories;n_readers,Dana_2023_c1,,inter-reader,8.51,0,,less_preferred_structure:single_pair;lower_priority,,,unclear,retrospective,North_America
C521,Dana_2023,inter-reader,CT,CT,v2019,v2019,2,,,,,,,149,2,,,Light,unweighted,0.66,,0.52,0.79,0.872,,,,,,0,supplementary_collapsed,,CT,CT,v2019,v2019,single_pair,version;n_categories;n_readers,Dana_2023_c1,,inter-reader,8.51,0,,less_preferred_structure:single_pair;lower_priority,,,unclear,retrospective,North_America
C522,Dana_2023,inter-reader,CT,CT,v2005,v2005,5,,,,,,,149,2,,,Light,unweighted,0.79,,0.71,0.86,0.839,,,,,,0,supplementary_collapsed,,CT,CT,original,original,pooled,version;n_categories;n_readers,Dana_2023_c1,,inter-reader,-1.49,0,,duplicate_within_study,,,unclear,retrospective,North_America
C523,Dana_2023,inter-reader,CT,CT,v2019,v2019,5,,,,,,,149,2,,,Light,unweighted,0.7,,0.61,0.78,0.738,,,,,,0,supplementary_collapsed,,CT,CT,v2019,v2019,pooled,version;n_categories;n_readers,Dana_2023_c1,,inter-reader,-1.49,0,,duplicate_within_study,,,unclear,retrospective,North_America
C524,Bai_2022,intra-reader,MRI,,2019,,4,,senior (>=10yr),,,,,207,5,"I, II, IIF, III, IV",,ICC,not_applicable,,,0.824,0.88,,,,0.853,test-retest ICC,,0,,,MRI,,v2019,v2019,subgroup,,Bai_2022_c1,,intra-reader,,,,,10.0,,unclear,,
C525,Bai_2022,intra-reader,MRI,,2019,,4,,junior (<10yr),,,,,207,5,"I, II, IIF, III, IV",,ICC,not_applicable,,,0.811,0.871,,,,0.843,test-retest ICC,,0,,,MRI,,v2019,v2019,subgroup,,Bai_2022_c1,,intra-reader,,,,,10.0,,unclear,,
C526,Bai_2022,intra-reader,MRI,,2019,,8,,senior and junior,,,,,111,5,"I, II, IIF, III, IV",,ICC,not_applicable,,,0.757,0.878,,,,0.827,test-retest ICC,,0,,,MRI,,v2019,v2019,subgroup,,Bai_2022_c1,approx_ci,intra-reader,,,,,,,unclear,,
C527,Bai_2022,intra-reader,MRI,,2019,,8,,senior and junior,,,,,96,5,"I, II, IIF, III, IV",,ICC,not_applicable,,,0.522,0.755,,,,0.654,test-retest ICC,,0,,,MRI,,v2019,v2019,subgroup,,Bai_2022_c1,approx_ci,intra-reader,,,,,,,unclear,,
C528,Bai_2022,intra-reader,MRI,,2019,,8,,senior and junior,,,,,87,5,"I, II, IIF, III, IV",,ICC,not_applicable,,,0.668,0.844,,,,0.77,test-retest ICC,,0,,,MRI,,v2019,v2019,subgroup,,Bai_2022_c1,approx_ci,intra-reader,,,,,,,unclear,,
C529,Bai_2022,intra-reader,MRI,,2019,,8,,senior and junior,,,,,120,5,"I, II, IIF, III, IV",,ICC,not_applicable,,,0.827,0.912,,,,0.876,test-retest ICC,,0,,,MRI,,v2019,v2019,subgroup,,Bai_2022_c1,approx_ci,intra-reader,,,,,,,unclear,,
C530,Ascenti_2007,inter-modality,CEUS,CT,2005,2005,3,abdominal radiologists,"15, 25, 10 years",,,yes,independent,44,2,surgical vs nonsurgical,II+IIF vs III+IV,Cohen_unweighted,unweighted,1,,,,1,,,,,,0,supplementary_collapsed,cohen_multi_reader,CEUS,CT,unspecified,original,single,collapsing_scheme,Ascenti_2007_c1,cohen_multi_reader;extreme_value;no_ci,inter-modality,,,,,16.67,subspecialty,blinded,prospective,Europe
C531,Bielsa_Gali_1999,inter-modality,US,CT,original,original,,not specified,,,,not reported,not reported,20,5,"I, II, IIF, III, IV",,Cohen_unweighted,unweighted,0.359,,0.048,0.639,0.55,,,,,,1,,derived_from_table,US,CT,unspecified,original,single,none,Bielsa_Gali_1999_c1,no_ci;small_sample;derived_from_table,inter-modality,4.45,1,sole_estimate,,,,unclear,retrospective,Europe
C600,Clevert_2008,inter-modality,CT,CEUS,original,original (adapted for US),1,['radiology'],experienced radiologists,,,blinded readers,independent,37,4,"['II', 'IIF', 'III', 'IV']",,Cohen_unweighted,linear,0.7676,,,,0.8108108108108109,,,,,,1,at_derived_lw_sensitivity,derived_from_table_linear_weighted,CT,CEUS,original,modified,single,none,Clevert_2008_c1,no_ci,inter-modality,4.63,0,sole_estimate,,,general,blinded,retrospective,Europe
C601,Foukal_2014,inter-modality,CEUS,CT,Ascenti modification (CEUS),original 2005 (CT),1,,,,,,,112,6,"['I', 'II', 'IIF', 'III', 'IV', 'solid']",,Cohen_unweighted,linear,0.5215,,,,0.61,,,,,,1,at_derived_lw_sensitivity,derived_from_table_linear_weighted,CEUS,CT,modified,original,single,n_categories,Foukal_2014_c1,derived_from_table;no_ci,inter-modality,4.88,0,single_direct,,,,unclear,retrospective,Europe
C602,Foukal_2014,inter-modality,CEUS,CT,Ascenti modification (CEUS),original 2005 (CT),1,,,,,,,112,2,"['non-surgical (I+II+IIF)', 'surgical (III+IV+solid)']",binary: non-surgical vs surgical,Cohen_unweighted,linear,0.6303,,,,0.9,,,,,,1,at_derived_lw_sensitivity,derived_from_table_linear_weighted,CEUS,CT,modified,original,single,n_categories,Foukal_2014_c1,derived_from_table;no_ci,inter-modality,4.88,0,,duplicate_within_study,,,unclear,retrospective,Europe
C603,Israel_2004,inter-modality,CT,MRI,2005 (with IIF),2005 (with IIF),2,['radiology'],8 and 25 years,,,"Not blinded (CT reviewed first, then MRI immediately after)",consensus reading,69,5,"['I', 'II', 'IIF', 'III', 'IV']",,Cohen_unweighted,linear,0.9354,,,,0.8986,,,,,,1,at_derived_lw_sensitivity,derived_from_table_linear_weighted,CT,MRI,original,original,single,none,Israel_2004_c1,derived_from_table;no_ci,inter-modality,5.31,0,sole_estimate,,16.5,general,unblinded,retrospective,North_America
C604,Ragel_2016,inter-modality,CECT,CEUS,Bosniak,Bosniak,1,radiologist,6 years,,,blinded,independent,51,5,"I, II, IIF, III, IV",,Cohen_linear,linear,0.2392,,,,0.3333,,,,,,1,at_derived_lw_sensitivity,derived_from_table_linear_weighted,CT,CEUS,original,unspecified,single,reader_pair,Ragel_2016_c1,derived_from_table;no_ci,inter-modality,5.49,0,,lower_priority,6.0,general,blinded,prospective,Europe
C605,Zhong_2017,inter-modality,CT,MRI,1986,1986,2,"['radiology (senior)', 'radiology (senior)']",22 years,,25 years,blinded to previous imaging reports and pathological results,consensus,35,4,"['II', 'IIF', 'III', 'IV']",,Cohen_unweighted,linear,0.7639,,,,0.77,,,,,,1,at_derived_lw_sensitivity,derived_from_table_linear_weighted,CT,MRI,original,original,single,none,Zhong_2017_c1,derived_from_table;no_ci,inter-modality,5.65,0,sole_estimate,,23.5,general,blinded,retrospective,Asia
C606,Oon_2018,inter-modality,CT (or MRI),CEUS,,,1,,,,,,,21,4,"['II', 'IIF', 'III', 'IV']",,Cohen_unweighted,linear,0.4522,,,,0.5238,,,,,,1,at_derived_lw_sensitivity,derived_from_table_linear_weighted,CT_MRI,CEUS,original,modified,single,none,Oon2018_c1,derived_from_table;no_ci;small_sample,inter-modality,5.79,0,sole_estimate,,,,unclear,retrospective,Europe
C607,Reizine_2024,inter-modality,rsDECT,MRI,v2019,v2019,1,Radiologist (abdominal imaging),"5 years (consensus, both readers)",,,,,127,6,"['1', '2', '2F', '3', '4', 'Solid']",,Cohen_unweighted,linear,0.8678,,,,0.8504,,,,,,1,at_derived_lw_sensitivity,derived_from_table_linear_weighted,DECT,MRI,v2019,v2019,single,none,Reizine2024_c1,no_ci,inter-modality,3.73,0,sole_estimate,,5.0,subspecialty,unclear,retrospective,Europe
C608,Ignee_2010,inter-modality,CECT,CEUS,,,1,,,,,,,10,3,"['II', 'III', 'IV']",,Cohen_unweighted,linear,0.2308,,,,0.5,,,,,,1,at_derived_lw_sensitivity,derived_from_table_linear_weighted,CT,CEUS,original,modified,single,none,Ignee2010_c1,small_sample;derived_from_table;no_ci,inter-modality,5.9,0,sole_estimate,,,,unclear,prospective,Europe
C609,Park_2007,inter-modality,CT,CEUS,,,2,Radiologist (cross-sectional imaging),15 years,Radiologist (cross-sectional imaging),20 years,,,31,5,"I, II, IIF, III, IV",,Cohen_unweighted,linear,0.3691,,,,0.742,,,,,,1,at_derived_lw_sensitivity,derived_from_table_linear_weighted,CT,CEUS,original,unspecified,single,none,Park_2007_c1,derived_from_table;no_ci,inter-modality,5.69,0,sole_estimate,,17.5,general,unclear,retrospective,Asia
C610,Chandrasekar_2023,inter-version,CT/MRI,,P2019B (pre-2019),B2019 (v2019),1,radiology,,,,,,20,3,"IIF, III, IV",,Cohen_unweighted,linear,0.7674,,,,0.9,,,,,,1,at_derived_lw_sensitivity,derived_from_table_linear_weighted,CT_MRI,,original,v2019,single,none,Chandrasekar_2023_c1,derived_from_table;no_ci;small_sample,inter-version,5.8,0,sole_estimate,,,general,unclear,prospective,North_America
C611,Gomma_2023,inter-version,MRI (3T),,Original (v2005),v2019,2,,,,,,,84,4,"II, IIF, III, IV",,Cohen_unweighted,linear,0.7855,,,,0.7976,,,,,,1,at_derived_lw_sensitivity,derived_from_table_linear_weighted,MRI,,original,v2019,single,none,Gomma_2023_c1,derived_from_table;no_ci,inter-version,5.16,0,sole_estimate,,,,unclear,prospective,Other
C612,Rocca_2016,inter-modality,CEUS,CECT,,,2,,,,,,,42,4,"II, IIF, III, IV",,Cohen_unweighted,linear,0.8002,,,,0.7381,,,,,,1,at_derived_lw_sensitivity,derived_from_table_linear_weighted,CEUS,CT,unspecified,unspecified,single,none,Rocca_2016_c1,derived_from_table;no_ci,inter-modality,5.58,0,sole_estimate,,,,unclear,,
C613,Walmer_2023,inter-reader,CEUS (flash replenishment),,,,2,radiologists,0.25-3 years CEUS experience,,,,,63,3,Malignant/Indeterminate/Benign (collapsed Bosniak III-IV/IIF/I-II),,Cohen_unweighted,linear,0.7190,,,,,,,,,,1,at_derived_lw_sensitivity,derived_from_table_linear_weighted,CEUS,,modified,modified,pairwise,reader_pair,Walmer_2023_c1,no_ci,inter-reader,29.37,0,reported_overall_restored:0.587,,1.62,general,unclear,,North_America
C614,Walmer_2023,inter-reader,CEUS (flash replenishment),,,,2,radiologists,0.25-3 years CEUS experience,,,,,63,3,Malignant/Indeterminate/Benign (collapsed Bosniak III-IV/IIF/I-II),,Cohen_unweighted,linear,0.6391,,,,,,,,,,1,at_derived_lw_sensitivity,derived_from_table_linear_weighted,CEUS,,modified,modified,pairwise,reader_pair,Walmer_2023_c1,no_ci,inter-reader,29.37,0,,reported_overall_available,1.62,general,unclear,,North_America
C615,Walmer_2023,inter-reader,CEUS (flash replenishment),,,,2,radiologists,0.25-3 years CEUS experience,,,,,63,3,Malignant/Indeterminate/Benign (collapsed Bosniak III-IV/IIF/I-II),,Cohen_unweighted,linear,0.6486,,,,,,,,,,1,at_derived_lw_sensitivity,derived_from_table_linear_weighted,CEUS,,modified,modified,pairwise,reader_pair,Walmer_2023_c1,no_ci,inter-reader,29.37,0,,reported_overall_available,1.62,general,unclear,,North_America
C616,Walmer_2023,inter-reader,CEUS (flash replenishment),,,,2,radiologists,0.25-3 years CEUS experience,,,,,63,3,Malignant/Indeterminate/Benign (collapsed Bosniak III-IV/IIF/I-II),,Cohen_unweighted,linear,0.6866,,,,,,,,,,1,at_derived_lw_sensitivity,derived_from_table_linear_weighted,CEUS,,modified,modified,pairwise,reader_pair,Walmer_2023_c1,no_ci,inter-reader,29.37,0,,reported_overall_available,1.62,general,unclear,,North_America
C617,Walmer_2023,inter-reader,CEUS (flash replenishment),,,,2,radiologists,0.25-3 years CEUS experience,,,,,63,3,Malignant/Indeterminate/Benign (collapsed Bosniak III-IV/IIF/I-II),,Cohen_unweighted,linear,0.7328,,,,,,,,,,1,at_derived_lw_sensitivity,derived_from_table_linear_weighted,CEUS,,modified,modified,pairwise,reader_pair,Walmer_2023_c1,no_ci,inter-reader,29.37,0,,reported_overall_available,1.62,general,unclear,,North_America
C618,Walmer_2023,inter-reader,CEUS (flash replenishment),,,,2,radiologists,0.25-3 years CEUS experience,,,,,63,3,Malignant/Indeterminate/Benign (collapsed Bosniak III-IV/IIF/I-II),,Cohen_unweighted,linear,0.6530,,,,,,,,,,1,at_derived_lw_sensitivity,derived_from_table_linear_weighted,CEUS,,modified,modified,pairwise,reader_pair,Walmer_2023_c1,no_ci,inter-reader,29.37,0,,reported_overall_available,1.62,general,unclear,,North_America
C619,Ferreira_2016,inter-modality,CT,MRI,2005,original,2,,,,,,,42,5,"I, II, IIF, III, IV",,Cohen_unweighted,linear,0.6785,,,,0.5952,,,,,,1,at_derived_lw_sensitivity,derived_from_table_linear_weighted,CT,MRI,original,original,single,none,Ferreira_2016_c1,derived_from_table;no_ci,inter-modality,5.58,0,sole_estimate,,,,unclear,retrospective,Other
