comparison_id,study_id,comparison_type,modality_1,modality_2,version_1,version_2,n_readers,reader_1_specialty,reader_1_experience_yrs,reader_2_specialty,reader_2_experience_yrs,blinding,reading_session_type,n_cysts,n_categories,categories_used,collapsing_scheme,kappa_type,weight_scheme,kappa,kappa_se,ci_lower,ci_upper,observed_agreement,gwet_ac1,gwet_ac2,icc,icc_type,krippendorff_alpha,has_raw_table,exclude,metric_note,std_modality_1,std_modality_2,std_version_1,std_version_2,reader_structure,variation_axis,dep_id,sensitivity_flags,analytic_stratum,opes_rank,opes_include,opes_basis,opes_exclude_reason,exp_mean,specialty_group,blinding_reported,study_design_cat,region
C447,Osman_2021,inter-version,CT/MRI,CT/MRI,Original,v2019,1,['Fellowship-trained abdominal radiologist'],5-8 years,,,,"Same session, Original classified first then v2019",103,5,"['I', 'II', 'IIF', 'III', 'IV']",,Cohen_unweighted,unweighted,0.79,,,,,,,,,,0,,,CT_MRI,CT_MRI,original,v2019,single,reader_pair,Osman_2021_c1,no_ci,inter-version,3.97,1,single_direct,,6.5,mixed,unclear,retrospective,North_America
C448,Osman_2021,inter-version,CT/MRI,CT/MRI,Original,v2019,1,['Fellowship-trained abdominal radiologist'],5-8 years,,,,"Same session, Original classified first then v2019",103,5,"['I', 'II', 'IIF', 'III', 'IV']",,Cohen_unweighted,unweighted,0.43,,,,,,,,,,0,,,CT_MRI,CT_MRI,original,v2019,single,reader_pair,Osman_2021_c1,no_ci,inter-version,3.97,0,,duplicate_within_study,6.5,mixed,unclear,retrospective,North_America
C449,Osman_2021,inter-version,CT/MRI,CT/MRI,Original,v2019,1,['Fellowship-trained abdominal radiologist'],5-8 years,,,,"Same session, Original classified first then v2019",103,5,"['I', 'II', 'IIF', 'III', 'IV']",,Cohen_unweighted,unweighted,0.72,,,,,,,,,,0,,,CT_MRI,CT_MRI,original,v2019,single,reader_pair,Osman_2021_c1,no_ci,inter-version,3.97,0,,duplicate_within_study,6.5,mixed,unclear,retrospective,North_America
C450,Osman_2021,inter-version,CT/MRI,CT/MRI,Original,v2019,1,['Fellowship-trained abdominal radiologist'],5-8 years,,,,"Same session, Original classified first then v2019",103,5,"['I', 'II', 'IIF', 'III', 'IV']",,Cohen_unweighted,unweighted,0.71,,,,,,,,,,0,,,CT_MRI,CT_MRI,original,v2019,single,reader_pair,Osman_2021_c1,no_ci,inter-version,3.97,0,,duplicate_within_study,6.5,mixed,unclear,retrospective,North_America
C451,Osman_2021,inter-version,CT/MRI,CT/MRI,Original,v2019,1,['Fellowship-trained abdominal radiologist'],5-8 years,,,,"Same session, Original classified first then v2019",103,5,"['I', 'II', 'IIF', 'III', 'IV']",,Cohen_unweighted,unweighted,0.42,,,,,,,,,,0,,,CT_MRI,CT_MRI,original,v2019,single,reader_pair,Osman_2021_c1,no_ci,inter-version,3.97,0,,duplicate_within_study,6.5,mixed,unclear,retrospective,North_America
C452,Osman_2021,inter-version,CT/MRI,CT/MRI,Original,v2019,1,['Fellowship-trained abdominal radiologist'],5-8 years,,,,"Same session, Original classified first then v2019",103,5,"['I', 'II', 'IIF', 'III', 'IV']",,Cohen_unweighted,unweighted,0.68,,,,,,,,,,0,,,CT_MRI,CT_MRI,original,v2019,single,reader_pair,Osman_2021_c1,no_ci,inter-version,3.97,0,,duplicate_within_study,6.5,mixed,unclear,retrospective,North_America
C453,Tse_2022,intra-reader,CT (SOC),CT (thin),v2019,,1,,1,,,,,131,5,,,Cohen_weighted,weighted_unspecified,0.693,,,,,,,,,,0,,weight_not_specified,CT,CT,v2019,v2019,single,reader_pair,Tse_2022_c1,weight_not_specified;overlap:tse_group;no_ci,technical-comparison,4.69,0,single_direct,technical_variant,1.0,,unclear,retrospective,North_America
C454,Tse_2022,intra-reader,CT (SOC),CT (thin),v2019,,1,,4,,,,,131,5,,,Cohen_weighted,weighted_unspecified,0.825,,,,,,,,,,0,,weight_not_specified,CT,CT,v2019,v2019,single,reader_pair,Tse_2022_c1,weight_not_specified;overlap:tse_group;no_ci,technical-comparison,4.69,0,,duplicate_within_study,4.0,,unclear,retrospective,North_America
C455,Tse_2022,intra-reader,CT (SOC),CT (thin),v2019,,1,,14,,,,,131,5,,,Cohen_weighted,weighted_unspecified,0.906,,,,,,,,,,0,,weight_not_specified,CT,CT,v2019,v2019,single,reader_pair,Tse_2022_c1,weight_not_specified;overlap:tse_group;no_ci,technical-comparison,4.69,0,,duplicate_within_study,14.0,,unclear,retrospective,North_America
C456,Walmer_2023,inter-reader,CEUS (flash replenishment),,,,2,radiologists,0.25-3 years CEUS experience,,,,,63,3,Malignant/Indeterminate/Benign (collapsed Bosniak III-IV/IIF/I-II),,Cohen_unweighted,unweighted,0.5766,,,,,,,,,,1,,derived_from_table,CEUS,,modified,modified,pairwise,reader_pair,Walmer_2023_c1,no_ci,inter-reader,29.37,1,reported_overall_restored:0.587,,1.62,general,unclear,,North_America
